Number of nodes 192
     0 :  2.2560660e-02  9.5160660e-02
     1 :  2.1500000e-02  9.5600000e-02
     2 :  1.6500000e-02  9.5600000e-02
     3 :  1.5439340e-02  9.5160660e-02
     4 :  2.3000000e-02  9.4100000e-02
     5 :  1.9000000e-02  9.2110683e-02
     6 :  1.5000000e-02  9.4100000e-02
     7 :  2.3000000e-02  8.6632049e-02
     8 :  1.5000000e-02  8.6632049e-02
     9 :  1.9000000e-02  8.2509280e-02
    10 :  2.3000000e-02  7.9164098e-02
    11 :  1.5000000e-02  7.9164098e-02
    12 :  1.9000000e-02  7.5430123e-02
    13 :  2.3000000e-02  7.1696147e-02
    14 :  1.5000000e-02  7.1696147e-02
    15 :  1.9000000e-02  6.7962172e-02
    16 :  2.3000000e-02  6.4228196e-02
    17 :  1.5000000e-02  6.4228196e-02
    18 :  1.9000000e-02  6.0494221e-02
    19 :  2.3000000e-02  5.6760246e-02
    20 :  1.5000000e-02  5.6760246e-02
    21 :  1.9000000e-02  5.3026270e-02
    22 :  2.3000000e-02  4.9292295e-02
    23 :  1.5000000e-02  4.9292295e-02
    24 :  1.9000000e-02  4.5558319e-02
    25 :  2.3000000e-02  4.1824344e-02
    26 :  1.5000000e-02  4.1824344e-02
    27 :  1.9000000e-02  3.8090368e-02
    28 :  2.3000000e-02  3.4356393e-02
    29 :  1.5000000e-02  3.4356393e-02
    30 :  1.9000000e-02  3.0622417e-02
    31 :  2.3000000e-02  2.6888442e-02
    32 :  1.5000000e-02  2.6888442e-02
    33 :  1.9000000e-02  2.3154467e-02
    34 :  2.3000000e-02  1.9420491e-02
    35 :  1.5000000e-02  1.9420491e-02
    36 :  1.9000000e-02  1.5837435e-02
    37 :  2.3000000e-02  1.2254379e-02
    38 :  1.5000000e-02  1.2254379e-02
    39 :  1.9312701e-02  9.5679614e-03
    40 :  2.3000000e-02  6.8246306e-03
    41 :  1.5000000e-02  6.8246306e-03
    42 :  2.3000000e-02  2.8728478e-03
    43 :  2.0364983e-02  3.6464514e-03
    44 :  1.5000000e-02  2.8728478e-03
    45 :  1.5000000e-02  0.0000000e+00
    46 :  3.0606602e-03 -6.2560660e-02
    47 :  2.0000000e-03 -6.3000000e-02
    48 : -2.0000000e-03 -6.3000000e-02
    49 : -3.0606602e-03 -6.2560660e-02
    50 :  2.3000000e-02  0.0000000e+00
    51 :  2.2851302e-02 -2.6111274e-03
    52 :  1.8001195e-02 -5.7942574e-04
    53 :  1.4772116e-02 -2.6047227e-03
    54 :  3.5000000e-03 -6.1500000e-02
    55 : -8.6193833e-04 -6.0372610e-02
    56 : -3.5000000e-03 -6.1500000e-02
    57 :  2.0383489e-02 -3.4376969e-03
    58 :  2.2407132e-02 -5.1884923e-03
    59 :  2.1673231e-02 -7.6987687e-03
    60 :  1.6962895e-02 -4.2212739e-03
    61 :  1.4095389e-02 -5.1303021e-03
    62 :  3.5000000e-03 -5.4143491e-02
    63 : -3.5000000e-03 -5.4143491e-02
    64 :  1.0842022e-19 -5.0465237e-02
    65 :  2.0659091e-02 -1.0109498e-02
    66 :  1.9078408e-02 -8.0258622e-03
    67 :  1.5786401e-02 -7.1533084e-03
    68 :  1.2990381e-02 -7.5000000e-03
    69 :  3.5000000e-03 -4.6786983e-02
